name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,"['deephand_left', 'dino_left_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.21,0.01,96.9,86.41,94.92,13,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.13,0.01,98.45,87.42,95.62,17,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,20,4,0.13,0.01,98.2,89.61,96.44,13,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,20,4,0.1,0.01,98.79,90.32,96.75,15,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,4,20,4,0.1,0.01,99.11,88.59,96.51,19,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,4,20,4,0.1,0.01,98.99,89.5,96.26,19,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,1,20,4,0.17,0.01,97.73,86.52,94.39,19,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,1,20,4,0.16,0.01,97.82,85.65,94.96,19,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,2,20,4,0.15,0.01,97.8,88.46,96.11,15,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,2,20,4,0.14,0.01,98.34,88.73,96.35,17,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,4,20,4,0.15,0.01,98.24,87.6,96.2,18,
DINO_features,"['deephand_left', 'dino_left_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,4,20,4,0.15,0.01,98.09,88.09,96.09,18,
DINO_features,"['deephand_left', 'dino_left_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,1,20,4,0.25,0.02,96.17,82.4,94.23,19,
