name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,concatenate,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,"['deephand_left', 'dino_left_large']",True,0.2,0.2,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.11,0.02,98.68,82.52,97.13,15,2024-12-02_15-26-26
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.05,0.05,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.13,0.02,98.94,82.47,97.13,16,2024-12-02_16-15-42
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.12,0.02,98.84,81.72,97.1,16,2024-12-02_12-44-09
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,4,True,0.05,0.04,99.47,81.15,97.1,18,2024-12-02_12-26-24
DINO_features,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,64,2,20,4,True,0.17,0.01,98.72,82.27,97.08,18,2024-12-02_10-25-26
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.13,0.02,99.01,82.27,97.08,18,2024-12-02_13-20-13
DINO_features,"['deephand_left', 'dino_left_large']",True,0.15,0.15,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.12,0.02,98.55,83.93,97.04,13,2024-12-02_15-17-37
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.14,0.02,98.85,81.98,97.04,18,2024-12-02_16-26-21
DINO_features,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,4,True,0.06,0.04,99.03,82.96,96.99,15,2024-12-02_10-38-59
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.08,0.02,99.53,82.38,96.97,19,2024-12-02_12-12-20
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.15,0.15,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.15,0.02,98.69,82.25,96.93,19,2024-12-02_16-37-00
DINO_features,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.33,0.01,97.53,81.63,96.93,18,2024-12-02_10-20-50
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.14,0.02,98.9,80.73,96.91,18,2024-12-02_22-43-10
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.41,0.01,98.03,80.39,96.88,18,2024-12-02_13-00-42
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,4,32,2,20,4,True,0.03,0.02,99.3,82.69,96.82,17,2024-12-02_18-31-36
DINO_features,['dino_left_large'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.07,0.01,99.73,80.97,96.82,17,2024-12-05_09-23-04
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,2,True,0.37,0.06,97.27,81.5,96.77,18,2024-12-04_05-38-59
DINO_features,['heatmap'],True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,2,True,0.33,0.06,97.49,80.46,96.75,17,2024-12-04_09-28-40
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,64,2,20,4,True,0.16,0.01,99.24,79.73,96.75,17,2024-12-02_12-02-16
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.35,0.01,97.61,78.98,96.75,19,2024-12-02_12-31-43
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.2,0.2,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.23,0.03,97.9,81.23,96.68,17,2024-12-02_16-47-43
DINO_features,['dino_left_large'],False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.07,0.01,99.69,82.05,96.6,17,2024-12-05_09-27-59
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,4,True,0.11,0.04,98.74,81.01,96.6,19,2024-12-02_13-35-09
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,64,2,20,4,True,0.21,0.01,98.47,80.28,96.51,17,2024-12-02_12-37-13
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,64,2,20,4,True,0.25,0.01,98.42,80.97,96.4,16,2024-12-02_13-09-32
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.28,0.01,98.77,78.34,96.29,19,2024-12-02_11-54-27
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,4,True,0.07,0.05,99.05,80.86,96.22,17,2024-12-02_12-53-06
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,512,4,16,2,20,2,True,0.09,0.04,98.41,81.56,96.13,15,2024-12-03_10-53-49
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,512,4,32,2,20,4,True,0.06,0.02,99.3,80.04,96.02,19,2024-12-02_19-20-46
